資料名稱,標樣名稱,序號,測量日期,鏡面光成分,測量區域,UV 設定,UV Light Intensity,樣本上的溫度,環境溫度,環境濕度,L*(10°/F2),a*(10°/F2),b*(10°/F2),C*(10°/F2),h(10°/F2),ΔL*(10°/F2),Δa*(10°/F2),Δb*(10°/F2),ΔC*(10°/F2),ΔH*(10°/F2),ΔE*94(10°/F2)(2.00:1.00:1.00),L*(10°/D65),a*(10°/D65),b*(10°/D65),C*(10°/D65),h(10°/D65),ΔL*(10°/D65),Δa*(10°/D65),Δb*(10°/D65),ΔC*(10°/D65),ΔH*(10°/D65),ΔE*94(10°/D65)(2.00:1.00:1.00),L*(10°/Studio),a*(10°/Studio),b*(10°/Studio),C*(10°/Studio),h(10°/Studio),ΔL*(10°/Studio),Δa*(10°/Studio),Δb*(10°/Studio),ΔC*(10°/Studio),ΔH*(10°/Studio),ΔE*94(10°/Studio)(2.00:1.00:1.00),L*(10°/Retail),a*(10°/Retail),b*(10°/Retail),C*(10°/Retail),h(10°/Retail),ΔL*(10°/Retail),Δa*(10°/Retail),Δb*(10°/Retail),ΔC*(10°/Retail),ΔH*(10°/Retail),ΔE*94(10°/Retail)(2.00:1.00:1.00),L*(10°/A),a*(10°/A),b*(10°/A),C*(10°/A),h(10°/A),ΔL*(10°/A),Δa*(10°/A),Δb*(10°/A),ΔC*(10°/A),ΔH*(10°/A),ΔE*94(10°/A)(2.00:1.00:1.00),360[nm],370[nm],380[nm],390[nm],400[nm],410[nm],420[nm],430[nm],440[nm],450[nm],460[nm],470[nm],480[nm],490[nm],500[nm],510[nm],520[nm],530[nm],540[nm],550[nm],560[nm],570[nm],580[nm],590[nm],600[nm],610[nm],620[nm],630[nm],640[nm],650[nm],660[nm],670[nm],680[nm],690[nm],700[nm],710[nm],720[nm],730[nm],740[nm]
0418-10mm-1,---,10002494,2026/4/19 上午 10:59:27,SCI,MAV (8mm),100% 完全,99.9,---,---,---,98.29,0.49,-2.06,2.11,283.27,---,---,---,---,---,---,98.31,0.37,-1.26,1.31,286.19,---,---,---,---,---,---,98.30,0.31,-1.72,1.75,280.34,---,---,---,---,---,---,98.28,0.23,-2.01,2.02,276.47,---,---,---,---,---,---,98.27,0.13,-1.47,1.47,275.02,---,---,---,---,---,---,9.99,11.13,14.25,23.05,43.43,72.35,94.16,101.60,101.48,99.38,98.12,97.27,96.55,96.10,95.92,95.70,95.55,95.40,95.41,95.43,95.47,95.55,95.53,95.55,95.59,95.58,95.57,95.60,95.57,95.65,95.61,95.62,95.64,95.67,95.50,95.38,95.17,94.97,94.65
0418-10mm-2,---,10002494,2026/4/19 上午 10:59:48,SCI,MAV (8mm),100% 完全,99.9,---,---,---,98.29,0.48,-2.00,2.05,283.47,---,---,---,---,---,---,98.31,0.36,-1.21,1.26,286.45,---,---,---,---,---,---,98.30,0.32,-1.69,1.71,280.72,---,---,---,---,---,---,98.28,0.23,-1.96,1.98,276.78,---,---,---,---,---,---,98.27,0.14,-1.42,1.42,275.44,---,---,---,---,---,---,9.85,11.00,14.12,22.91,43.28,72.22,94.03,101.48,101.37,99.29,98.06,97.22,96.52,96.07,95.91,95.68,95.54,95.39,95.41,95.43,95.47,95.57,95.54,95.57,95.60,95.59,95.58,95.61,95.59,95.66,95.63,95.64,95.65,95.69,95.52,95.39,95.19,94.98,94.68
0418-10mm-3,---,10002494,2026/4/19 上午 11:00:04,SCI,MAV (8mm),100% 完全,99.9,---,---,---,98.31,0.47,-2.03,2.09,283.13,---,---,---,---,---,---,98.34,0.35,-1.24,1.29,285.90,---,---,---,---,---,---,98.33,0.31,-1.71,1.74,280.18,---,---,---,---,---,---,98.30,0.22,-1.99,2.00,276.32,---,---,---,---,---,---,98.30,0.12,-1.45,1.46,274.80,---,---,---,---,---,---,9.95,11.11,14.27,23.12,43.52,72.40,94.17,101.61,101.50,99.41,98.16,97.32,96.60,96.16,96.00,95.76,95.61,95.46,95.49,95.51,95.53,95.62,95.59,95.61,95.65,95.63,95.62,95.65,95.62,95.71,95.68,95.68,95.69,95.72,95.56,95.43,95.23,95.02,94.71
0418-5mm-1,---,10002494,2026/4/19 上午 11:01:45,SCI,MAV (8mm),100% 完全,99.9,---,---,---,98.30,0.47,-2.00,2.06,283.17,---,---,---,---,---,---,98.32,0.35,-1.22,1.27,285.85,---,---,---,---,---,---,98.31,0.31,-1.69,1.72,280.26,---,---,---,---,---,---,98.29,0.22,-1.97,1.98,276.39,---,---,---,---,---,---,98.28,0.12,-1.42,1.43,274.88,---,---,---,---,---,---,10.46,11.62,14.76,23.53,43.72,72.38,94.06,101.50,101.40,99.33,98.09,97.26,96.56,96.12,95.95,95.72,95.57,95.43,95.45,95.47,95.50,95.59,95.55,95.58,95.62,95.61,95.59,95.62,95.60,95.67,95.63,95.64,95.66,95.69,95.52,95.40,95.20,95.00,94.69
0418-5mm-2,---,10002494,2026/4/19 上午 11:02:01,SCI,MAV (8mm),100% 完全,99.9,---,---,---,98.27,0.49,-2.03,2.09,283.45,---,---,---,---,---,---,98.29,0.37,-1.24,1.30,286.63,---,---,---,---,---,---,98.28,0.32,-1.70,1.73,280.64,---,---,---,---,---,---,98.26,0.23,-1.98,1.99,276.71,---,---,---,---,---,---,98.25,0.14,-1.44,1.45,275.37,---,---,---,---,---,---,11.14,12.30,15.41,24.09,44.10,72.56,94.11,101.49,101.36,99.27,98.03,97.19,96.48,96.04,95.86,95.63,95.48,95.33,95.36,95.39,95.43,95.52,95.49,95.51,95.55,95.54,95.53,95.56,95.53,95.61,95.58,95.59,95.60,95.64,95.48,95.35,95.14,94.94,94.63
0418-5mm-3,---,10002494,2026/4/19 上午 11:02:14,SCI,MAV (8mm),100% 完全,99.9,---,---,---,98.30,0.47,-1.95,2.01,283.53,---,---,---,---,---,---,98.32,0.35,-1.18,1.23,286.57,---,---,---,---,---,---,98.31,0.31,-1.64,1.67,280.84,---,---,---,---,---,---,98.29,0.23,-1.91,1.93,276.86,---,---,---,---,---,---,98.28,0.13,-1.38,1.39,275.54,---,---,---,---,---,---,10.82,11.97,15.09,23.80,43.89,72.46,94.04,101.41,101.30,99.23,98.02,97.19,96.49,96.07,95.91,95.70,95.55,95.41,95.43,95.46,95.50,95.59,95.57,95.59,95.63,95.61,95.60,95.63,95.61,95.69,95.65,95.66,95.67,95.71,95.54,95.42,95.21,95.01,94.69
0418-10mm-1,---,10002494,2026/4/19 上午 11:05:50,SCI,MAV (8mm),UVAdj,0,---,---,---,98.28,-0.03,0.38,0.38,94.96,---,---,---,---,---,---,98.26,-0.34,0.81,0.88,112.86,---,---,---,---,---,---,98.28,0.20,-0.22,0.29,312.36,---,---,---,---,---,---,98.29,0.17,-0.26,0.32,303.44,---,---,---,---,---,---,98.28,0.07,0.47,0.47,82.00,---,---,---,---,---,---,0.00,0.00,0.00,0.00,36.63,68.19,88.30,96.21,97.00,96.28,95.88,95.68,95.53,95.43,95.45,95.41,95.43,95.39,95.47,95.53,95.60,95.72,95.71,95.74,95.77,95.76,95.74,95.76,95.75,95.82,95.78,95.79,95.80,95.83,95.66,95.52,95.32,95.12,94.79
0418-10mm-2,---,10002494,2026/4/19 上午 11:06:06,SCI,MAV (8mm),UVAdj,0,---,---,---,98.27,-0.04,0.38,0.38,95.51,---,---,---,---,---,---,98.25,-0.35,0.81,0.88,113.06,---,---,---,---,---,---,98.27,0.19,-0.22,0.29,311.84,---,---,---,---,---,---,98.27,0.17,-0.26,0.31,302.96,---,---,---,---,---,---,98.27,0.06,0.47,0.47,82.37,---,---,---,---,---,---,0.00,0.00,0.00,0.00,36.43,68.12,88.27,96.17,96.96,96.24,95.85,95.65,95.50,95.39,95.42,95.38,95.40,95.36,95.44,95.51,95.57,95.68,95.67,95.70,95.73,95.73,95.71,95.73,95.71,95.78,95.75,95.75,95.76,95.79,95.62,95.49,95.28,95.08,94.76
0418-10mm-3,---,10002494,2026/4/19 上午 11:06:22,SCI,MAV (8mm),UVAdj,0,---,---,---,98.28,-0.04,0.39,0.39,96.00,---,---,---,---,---,---,98.25,-0.35,0.82,0.89,113.24,---,---,---,---,---,---,98.28,0.19,-0.21,0.28,311.78,---,---,---,---,---,---,98.28,0.17,-0.26,0.31,302.72,---,---,---,---,---,---,98.28,0.06,0.47,0.48,82.95,---,---,---,---,---,---,0.00,0.00,0.00,0.00,36.47,68.11,88.26,96.19,96.98,96.26,95.86,95.67,95.52,95.41,95.45,95.41,95.43,95.38,95.47,95.53,95.59,95.71,95.70,95.72,95.75,95.74,95.72,95.75,95.73,95.80,95.76,95.78,95.78,95.81,95.65,95.50,95.31,95.10,94.76
0418-5mm-1,---,10002494,2026/4/19 上午 11:06:40,SCI,MAV (8mm),UVAdj,0,---,---,---,98.26,-0.04,0.37,0.37,96.04,---,---,---,---,---,---,98.24,-0.35,0.81,0.88,113.50,---,---,---,---,---,---,98.26,0.19,-0.22,0.29,310.52,---,---,---,---,---,---,98.27,0.16,-0.27,0.31,301.56,---,---,---,---,---,---,98.26,0.06,0.46,0.47,83.18,---,---,---,---,---,---,0.00,0.00,0.00,0.00,36.87,68.14,88.21,96.17,96.96,96.23,95.83,95.64,95.48,95.39,95.40,95.38,95.40,95.35,95.43,95.49,95.56,95.67,95.65,95.68,95.71,95.70,95.68,95.71,95.68,95.75,95.72,95.73,95.73,95.77,95.60,95.46,95.26,95.06,94.74
