資料名稱,標樣名稱,序號,測量日期,鏡面光成分,測量區域,UV 設定,UV Light Intensity,樣本上的溫度,環境溫度,環境濕度,L*(10°/F2),a*(10°/F2),b*(10°/F2),C*(10°/F2),h(10°/F2),ΔL*(10°/F2),Δa*(10°/F2),Δb*(10°/F2),ΔC*(10°/F2),ΔH*(10°/F2),ΔE*94(10°/F2)(2.00:1.00:1.00),L*(10°/D65),a*(10°/D65),b*(10°/D65),C*(10°/D65),h(10°/D65),ΔL*(10°/D65),Δa*(10°/D65),Δb*(10°/D65),ΔC*(10°/D65),ΔH*(10°/D65),ΔE*94(10°/D65)(2.00:1.00:1.00),L*(10°/Studio),a*(10°/Studio),b*(10°/Studio),C*(10°/Studio),h(10°/Studio),ΔL*(10°/Studio),Δa*(10°/Studio),Δb*(10°/Studio),ΔC*(10°/Studio),ΔH*(10°/Studio),ΔE*94(10°/Studio)(2.00:1.00:1.00),L*(10°/Retail),a*(10°/Retail),b*(10°/Retail),C*(10°/Retail),h(10°/Retail),ΔL*(10°/Retail),Δa*(10°/Retail),Δb*(10°/Retail),ΔC*(10°/Retail),ΔH*(10°/Retail),ΔE*94(10°/Retail)(2.00:1.00:1.00),L*(10°/A),a*(10°/A),b*(10°/A),C*(10°/A),h(10°/A),ΔL*(10°/A),Δa*(10°/A),Δb*(10°/A),ΔC*(10°/A),ΔH*(10°/A),ΔE*94(10°/A)(2.00:1.00:1.00),360[nm],370[nm],380[nm],390[nm],400[nm],410[nm],420[nm],430[nm],440[nm],450[nm],460[nm],470[nm],480[nm],490[nm],500[nm],510[nm],520[nm],530[nm],540[nm],550[nm],560[nm],570[nm],580[nm],590[nm],600[nm],610[nm],620[nm],630[nm],640[nm],650[nm],660[nm],670[nm],680[nm],690[nm],700[nm],710[nm],720[nm],730[nm],740[nm]
0424-5-色膏2%-1,---,10002494,2026/4/28 上午 10:04:04,SCI,MAV (8mm),UVAdj,0,---,---,---,98.25,-0.11,0.28,0.30,110.70,---,---,---,---,---,---,98.24,-0.45,0.73,0.85,121.45,---,---,---,---,---,---,98.25,0.08,-0.31,0.32,285.11,---,---,---,---,---,---,98.25,0.06,-0.37,0.37,279.49,---,---,---,---,---,---,98.24,-0.05,0.35,0.36,98.30,---,---,---,---,---,---,0.00,0.00,0.00,0.00,36.46,68.56,88.44,96.25,97.02,96.33,95.93,95.76,95.62,95.52,95.53,95.50,95.49,95.43,95.47,95.50,95.53,95.62,95.57,95.57,95.57,95.54,95.49,95.52,95.49,95.55,95.51,95.52,95.51,95.53,95.35,95.20,94.96,94.73,94.37
0424-5-色膏2%-2,---,10002494,2026/4/28 上午 10:04:47,SCI,MAV (8mm),UVAdj,0,---,---,---,98.26,-0.11,0.28,0.30,111.18,---,---,---,---,---,---,98.25,-0.45,0.72,0.85,121.62,---,---,---,---,---,---,98.26,0.08,-0.31,0.32,284.61,---,---,---,---,---,---,98.26,0.06,-0.37,0.37,279.05,---,---,---,---,---,---,98.25,-0.05,0.35,0.35,98.82,---,---,---,---,---,---,0.00,0.00,0.00,0.00,36.33,68.58,88.49,96.30,97.06,96.34,95.96,95.79,95.64,95.55,95.55,95.52,95.51,95.45,95.50,95.52,95.56,95.64,95.59,95.59,95.59,95.56,95.51,95.53,95.50,95.56,95.53,95.53,95.52,95.55,95.37,95.21,94.97,94.73,94.38
0424-5-色膏2%-3,---,10002494,2026/4/28 上午 10:05:23,SCI,MAV (8mm),UVAdj,0,---,---,---,98.24,-0.10,0.28,0.30,109.86,---,---,---,---,---,---,98.23,-0.44,0.72,0.85,121.04,---,---,---,---,---,---,98.24,0.09,-0.30,0.32,286.19,---,---,---,---,---,---,98.24,0.07,-0.36,0.37,280.35,---,---,---,---,---,---,98.23,-0.05,0.36,0.36,97.44,---,---,---,---,---,---,0.00,0.00,0.00,0.00,36.67,68.69,88.48,96.24,96.99,96.29,95.89,95.72,95.58,95.48,95.49,95.45,95.46,95.39,95.45,95.47,95.50,95.59,95.54,95.55,95.56,95.52,95.47,95.49,95.47,95.53,95.49,95.49,95.49,95.52,95.33,95.18,94.93,94.70,94.36
0424-5-色膏2%-4,---,10002494,2026/4/28 上午 10:06:02,SCI,MAV (8mm),UVAdj,0,---,---,---,98.25,-0.10,0.30,0.32,109.18,---,---,---,---,---,---,98.24,-0.44,0.74,0.86,120.69,---,---,---,---,---,---,98.25,0.09,-0.29,0.30,286.99,---,---,---,---,---,---,98.25,0.07,-0.34,0.35,280.94,---,---,---,---,---,---,98.25,-0.05,0.37,0.38,96.94,---,---,---,---,---,---,0.00,0.00,0.00,0.00,36.64,68.66,88.45,96.22,97.00,96.29,95.90,95.74,95.60,95.50,95.52,95.47,95.49,95.42,95.47,95.50,95.54,95.63,95.58,95.58,95.58,95.55,95.51,95.53,95.51,95.56,95.52,95.53,95.53,95.55,95.37,95.21,94.98,94.75,94.39
0424-5-色膏2%-5,---,10002494,2026/4/28 上午 10:06:36,SCI,MAV (8mm),UVAdj,0,---,---,---,98.25,-0.10,0.29,0.30,109.91,---,---,---,---,---,---,98.24,-0.44,0.73,0.85,121.09,---,---,---,---,---,---,98.26,0.09,-0.30,0.31,286.06,---,---,---,---,---,---,98.26,0.06,-0.36,0.36,280.26,---,---,---,---,---,---,98.25,-0.05,0.36,0.36,97.57,---,---,---,---,---,---,0.00,0.00,0.00,0.00,36.73,68.69,88.48,96.26,97.03,96.32,95.93,95.76,95.62,95.53,95.54,95.50,95.49,95.44,95.49,95.51,95.55,95.63,95.58,95.59,95.60,95.56,95.51,95.54,95.51,95.56,95.52,95.54,95.53,95.54,95.37,95.22,94.98,94.76,94.40
0424-5-色膏2%-6,---,10002494,2026/4/28 上午 10:07:31,SCI,MAV (8mm),UVAdj,0,---,---,---,98.24,-0.11,0.28,0.30,110.94,---,---,---,---,---,---,98.23,-0.45,0.73,0.85,121.54,---,---,---,---,---,---,98.24,0.08,-0.31,0.32,284.83,---,---,---,---,---,---,98.24,0.06,-0.36,0.37,279.26,---,---,---,---,---,---,98.23,-0.05,0.35,0.36,98.61,---,---,---,---,---,---,0.00,0.00,0.00,0.00,36.56,68.61,88.43,96.23,97.00,96.30,95.90,95.74,95.59,95.50,95.50,95.47,95.46,95.41,95.45,95.47,95.51,95.59,95.54,95.54,95.55,95.52,95.47,95.49,95.46,95.52,95.48,95.48,95.47,95.50,95.32,95.16,94.92,94.69,94.34
0424-5-色膏2%-7,---,10002494,2026/4/28 上午 10:07:50,SCI,MAV (8mm),UVAdj,0,---,---,---,98.25,-0.11,0.28,0.30,110.75,---,---,---,---,---,---,98.24,-0.45,0.73,0.86,121.41,---,---,---,---,---,---,98.25,0.08,-0.31,0.32,285.21,---,---,---,---,---,---,98.25,0.06,-0.37,0.37,279.56,---,---,---,---,---,---,98.25,-0.05,0.36,0.36,98.27,---,---,---,---,---,---,0.00,0.00,0.00,0.00,36.21,68.46,88.42,96.27,97.04,96.32,95.93,95.76,95.62,95.52,95.54,95.49,95.49,95.42,95.48,95.51,95.53,95.62,95.57,95.57,95.58,95.55,95.51,95.52,95.49,95.55,95.51,95.51,95.51,95.53,95.35,95.19,94.96,94.73,94.37
0424-5-色膏2%-1,---,10002494,2026/4/28 上午 10:09:45,SCI,MAV (8mm),100% 完全,99.9,---,---,---,98.27,0.38,-1.98,2.02,280.85,---,---,---,---,---,---,98.30,0.22,-1.20,1.22,280.49,---,---,---,---,---,---,98.28,0.20,-1.71,1.72,276.65,---,---,---,---,---,---,98.25,0.12,-1.98,1.99,273.36,---,---,---,---,---,---,98.25,0.01,-1.44,1.44,270.51,---,---,---,---,---,---,11.64,12.77,15.89,24.55,44.36,72.48,93.87,101.28,101.22,99.23,98.05,97.25,96.58,96.17,96.01,95.77,95.62,95.46,95.45,95.44,95.44,95.51,95.44,95.44,95.44,95.41,95.37,95.40,95.37,95.44,95.39,95.39,95.39,95.41,95.23,95.09,94.87,94.64,94.27
0424-5-色膏2%-2,---,10002494,2026/4/28 上午 10:10:00,SCI,MAV (8mm),100% 完全,99.9,---,---,---,98.29,0.38,-2.02,2.05,280.76,---,---,---,---,---,---,98.32,0.23,-1.23,1.25,280.40,---,---,---,---,---,---,98.30,0.20,-1.74,1.75,276.44,---,---,---,---,---,---,98.27,0.11,-2.01,2.02,273.20,---,---,---,---,---,---,98.27,0.01,-1.47,1.47,270.31,---,---,---,---,---,---,11.37,12.49,15.58,24.26,44.19,72.50,93.99,101.41,101.34,99.33,98.13,97.33,96.66,96.23,96.07,95.83,95.67,95.50,95.50,95.49,95.48,95.54,95.48,95.48,95.48,95.45,95.41,95.42,95.40,95.47,95.43,95.42,95.42,95.44,95.26,95.12,94.87,94.64,94.29
0424-5-色膏2%-3,---,10002494,2026/4/28 上午 10:10:15,SCI,MAV (8mm),100% 完全,99.9,---,---,---,98.27,0.39,-2.01,2.05,280.96,---,---,---,---,---,---,98.31,0.24,-1.23,1.25,280.94,---,---,---,---,---,---,98.29,0.20,-1.73,1.74,276.76,---,---,---,---,---,---,98.26,0.12,-2.00,2.01,273.45,---,---,---,---,---,---,98.25,0.02,-1.47,1.47,270.69,---,---,---,---,---,---,11.81,12.94,16.07,24.72,44.50,72.61,93.99,101.37,101.29,99.28,98.09,97.28,96.61,96.18,96.03,95.78,95.62,95.45,95.46,95.45,95.45,95.52,95.45,95.44,95.46,95.42,95.38,95.41,95.38,95.44,95.41,95.40,95.40,95.42,95.25,95.10,94.87,94.63,94.29
